count,type,bath,bed,car,suburb,latitude,longitude,auction,private_treaty,prior_to_auction,year,price,offence_count
6,ApartmentUnitFlat,1,1,1,abbotsford,-37.80404,144.9982455,3,3,0,2011,694166,1356
36,House,1,2,0,abbotsford,-37.80442506,144.9967132,20,16,0,2011,819388,1356
11,ApartmentUnitFlat,1,1,1,abbotsford,-37.80418459,144.9991546,6,5,0,2012,497772,908
46,House,1,2,0,abbotsford,-37.80397787,144.9967142,33,13,0,2012,817402,908
14,ApartmentUnitFlat,1,1,1,abbotsford,-37.8030246,145.0002401,6,8,0,2013,550214,748
34,House,1,2,0,abbotsford,-37.8041133,144.9972715,28,6,0,2013,840955,748
4,Townhouse,2,2,1,abbotsford,-37.80516025,144.9959908,2,1,1,2013,806875,748
22,ApartmentUnitFlat,1,1,1,abbotsford,-37.8044274,145.000627,12,10,0,2014,562113,1184
50,House,1,2,0,abbotsford,-37.8036623,144.9971877,45,5,0,2014,1026400,1184
4,Townhouse,1,2,1,abbotsford,-37.80063915,144.99742,2,2,0,2014,636500,1184
58,ApartmentUnitFlat,1,1,1,abbotsford,-37.80474777,145.002129,28,30,0,2015,652017,1190
74,House,1,2,0,abbotsford,-37.80324598,144.9965358,54,20,0,2015,1021283,1190
6,Townhouse,1,2,1,abbotsford,-37.8006177,144.99686,4,2,0,2015,849166,1190
85,ApartmentUnitFlat,1,1,1,abbotsford,-37.80564379,145.0021074,31,53,1,2016,545917,1617
70,House,1,2,0,abbotsford,-37.80363732,144.9961273,55,15,0,2016,1178750,1617
8,Townhouse,2,1,1,abbotsford,-37.80524427,144.9961868,6,2,0,2016,754000,1617
77,ApartmentUnitFlat,1,1,1,abbotsford,-37.80666065,145.0047515,18,58,1,2017,650402,1367
57,House,1,2,0,abbotsford,-37.8029663,144.9971493,48,9,0,2017,1336964,1367
4,Townhouse,1,2,1,abbotsford,-37.8046585,144.9970665,2,2,0,2017,1015000,1367
77,ApartmentUnitFlat,1,1,1,abbotsford,-37.80651427,145.0045529,20,57,0,2018,587115,1475
41,House,1,2,0,abbotsford,-37.80432235,144.9964102,27,14,0,2018,1212695,1475
14,Townhouse,1,2,1,abbotsford,-37.80570061,144.9962571,11,3,0,2018,1000428,1475
81,ApartmentUnitFlat,1,1,1,abbotsford,-37.80774261,145.0050532,26,54,1,2019,594098,1599
39,House,1,2,0,abbotsford,-37.8048182,144.9970839,24,15,0,2019,1218615,1599
15,Townhouse,2,2,1,abbotsford,-37.80348702,144.9966752,9,5,1,2019,1065133,1599
44,ApartmentUnitFlat,1,1,0,abbotsford,-37.80614931,145.0043475,7,37,0,2020,592297,1640
25,House,1,2,0,abbotsford,-37.80574468,144.9972121,12,13,0,2020,1227720,1640
11,Townhouse,1,2,1,abbotsford,-37.80498107,144.9962093,4,7,0,2020,993636,1640
16,House,1,3,2,aberfeldie,-37.7598743,144.8968581,8,8,0,2011,1099250,1315
2,Townhouse,2,3,2,aberfeldie,-37.75882725,144.8910985,1,1,0,2011,665000,1315
3,ApartmentUnitFlat,1,2,1,aberfeldie,-37.75665193,144.899211,0,3,0,2012,483833,1324
15,House,1,3,2,aberfeldie,-37.76018919,144.8963653,7,8,0,2012,1248393,1324
2,ApartmentUnitFlat,1,2,1,aberfeldie,-37.7588422,144.8966445,1,1,0,2013,527500,1378
31,House,1,3,2,aberfeldie,-37.75973314,144.8976019,15,16,0,2013,1075854,1378
5,Townhouse,2,3,1,aberfeldie,-37.75852746,144.8980158,2,3,0,2013,803700,1378
4,ApartmentUnitFlat,1,1,1,aberfeldie,-37.75987043,144.899866,2,2,0,2014,390625,1352
27,House,1,3,2,aberfeldie,-37.75951514,144.8971691,15,12,0,2014,1124722,1352
31,House,1,3,2,aberfeldie,-37.75938897,144.8960988,20,11,0,2015,1186322,1361
2,Townhouse,1,4,2,aberfeldie,-37.75920145,144.899374,1,1,0,2015,998000,1361
5,ApartmentUnitFlat,1,1,1,aberfeldie,-37.75738174,144.8995858,2,3,0,2016,467800,1694
17,House,1,4,2,aberfeldie,-37.75874117,144.8963631,11,6,0,2016,1493588,1694
2,Townhouse,1,2,2,aberfeldie,-37.7587719,144.896167,1,1,0,2016,725000,1694
4,ApartmentUnitFlat,1,2,1,aberfeldie,-37.7583204,144.897652,2,2,0,2017,685500,1723
25,House,2,3,2,aberfeldie,-37.75908702,144.8959042,16,9,0,2017,1637220,1723
3,Townhouse,2,2,1,aberfeldie,-37.7584226,144.8969573,0,2,1,2017,960333,1723
3,ApartmentUnitFlat,1,1,1,aberfeldie,-37.75701447,144.9027667,1,2,0,2018,333166,1569
10,House,1,3,2,aberfeldie,-37.75975076,144.8972391,6,3,1,2018,1687900,1569
3,Townhouse,2,2,1,aberfeldie,-37.756675,144.8941547,1,2,0,2018,719000,1569
