year,lga,crime_rate
2011,Banyule,5343
2011,Baw Baw,4489
2011,Bayside,3428
2011,Boroondara,3469
2011,Brimbank,8650
2011,Cardinia,5363
2011,Casey,5370
2011,Darebin,7710
2011,Glen Eira,3823
2011,Greater Dandenong,9473
2011,Greater Geelong,6795
2011,Hobsons Bay,6252
2011,Hume,7484
2011,Kingston,6094
2011,Knox,5058
2011,Macedon Ranges,3686
2011,Manningham,3036
2011,Maribyrnong,11127
2011,Maroondah,5574
2011,Melbourne,29537
2011,Melton,5837
2011,Monash,4446
2011,Moonee Valley,6371
2011,Moreland,6759
2011,Murrindindi,4349
2011,Nillumbik,3005
2011,Port Phillip,10138
2011,Stonnington,8307
2011,Whitehorse,3988
2011,Whittlesea,6022
2011,Wyndham,6350
2011,Yarra,13748
2011,Yarra Ranges,4159
2012,Banyule,5890
2012,Bass Coast,6715
2012,Baw Baw,5671
2012,Bayside,4481
2012,Boroondara,3820
2012,Brimbank,8952
2012,Cardinia,5801
2012,Casey,5345
2012,Darebin,8163
2012,Glen Eira,4082
2012,Greater Dandenong,9912
2012,Greater Geelong,6902
2012,Hobsons Bay,7273
2012,Hume,8262
2012,Kingston,5973
2012,Knox,5410
2012,Macedon Ranges,3342
2012,Manningham,3510
2012,Maribyrnong,11850
2012,Maroondah,6053
2012,Melbourne,29396
2012,Melton,6978
2012,Monash,4526
2012,Moonee Valley,6867
2012,Moorabool,4910
2012,Moreland,7439
2012,Murrindindi,4451
2012,Nillumbik,2923
2012,Port Phillip,11318
2012,Stonnington,8615
2012,Whitehorse,3940
2012,Whittlesea,6866
2012,Wyndham,6971
2012,Yarra,13467
2012,Yarra Ranges,4234
2013,Banyule,6046
2013,Bass Coast,7114
2013,Baw Baw,6802
2013,Bayside,4241
2013,Boroondara,3975
2013,Brimbank,9620
2013,Cardinia,6286
2013,Casey,5563
2013,Darebin,7556
2013,Glen Eira,4106
2013,Greater Dandenong,10439
2013,Greater Geelong,7315
2013,Hobsons Bay,7751
2013,Hume,8154
2013,Kingston,5944
2013,Knox,5615
2013,Macedon Ranges,3821
2013,Manningham,2982
2013,Maribyrnong,10400
2013,Maroondah,5756
2013,Melbourne,28849
2013,Melton,6754
2013,Mitchell,6631
2013,Monash,4639
2013,Moonee Valley,6971
2013,Moorabool,5856
2013,Moreland,7354
2013,Murrindindi,4659
2013,Nillumbik,3047
2013,Port Phillip,11176
2013,Stonnington,8677
2013,Whitehorse,4476
2013,Whittlesea,6652
2013,Wyndham,6348
2013,Yarra,12654
2013,Yarra Ranges,4168
2014,Banyule,7897
2014,Bass Coast,8612
2014,Baw Baw,7437
2014,Bayside,4267
2014,Boroondara,4249
2014,Brimbank,9155
2014,Cardinia,6665
2014,Casey,5607
2014,Darebin,9144
2014,Glen Eira,3923
2014,Greater Dandenong,10419
2014,Greater Geelong,7511
2014,Hobsons Bay,7634
2014,Hume,8688
2014,Kingston,6211
2014,Knox,6153
2014,Macedon Ranges,4240
2014,Manningham,3510
2014,Maribyrnong,10530
2014,Maroondah,6585
2014,Melbourne,24779
2014,Melton,7338
2014,Mitchell,8287
2014,Monash,4741
2014,Moonee Valley,7067
2014,Moorabool,5771
2014,Moreland,7546
2014,Murrindindi,5041
2014,Nillumbik,3335
2014,Port Phillip,10840
2014,Stonnington,9089
2014,Whitehorse,4488
2014,Whittlesea,7477
2014,Wyndham,6503
2014,Yarra,14096
2014,Yarra Ranges,4674
2015,Banyule,7099
2015,Bass Coast,7987
2015,Baw Baw,7492
2015,Bayside,4232
2015,Boroondara,3767
2015,Brimbank,9037
2015,Cardinia,6866
2015,Casey,6493
2015,Darebin,9473
2015,Glen Eira,3965
2015,Greater Dandenong,11095
2015,Greater Geelong,8224
2015,Hobsons Bay,7389
2015,Hume,9555
2015,Kingston,6551
2015,Knox,6145
2015,Macedon Ranges,4627
2015,Manningham,3580
2015,Maribyrnong,9327
2015,Maroondah,6910
2015,Melbourne,25225
2015,Melton,7523
2015,Mitchell,9149
